Point Départ,KNN,TWO_OPT,Amélioration (%)
Castelnau-le-Lez,116.91,98.26,15.96
Sartrouville,116.91,98.26,15.96
Enghien-les-Bains,116.91,98.26,15.96
Souffelweyersheim,116.91,98.26,15.96
Rueil-Malmaison,116.91,98.26,15.96
Bois-Colombes,116.91,98.26,15.96
Bihorel,111.92,94.09,15.92
Vernouillet,111.92,94.09,15.92
Neuville-en-Ferrain,111.92,94.09,15.92
Bonsecours,111.92,94.09,15.92
Igny,111.92,94.09,15.92
Grigny,111.92,94.09,15.92
Le Grand-Quevilly,116.18,97.72,15.89
Montigny-en-Gohelle,116.18,97.72,15.89
Waziers,116.18,97.72,15.89
Villemomble,116.18,97.72,15.89
Pierrefitte-sur-Seine,112.85,95.02,15.81
Poitiers,112.85,95.02,15.81
Carbon-Blanc,112.85,95.02,15.81
Biarritz,112.85,95.02,15.81
Ascq,112.85,95.02,15.81
Leuville-sur-Orge,112.85,95.02,15.81
Caluire-et-Cuire,112.85,95.02,15.81
Vigneux-sur-Seine,112.85,95.02,15.81
Meythet,112.28,94.6,15.74
Égly,112.28,94.6,15.74
Loison-sous-Lens,112.28,94.6,15.74
Montereau-faut-Yonne,112.28,94.6,15.74
Arpajon,112.28,94.6,15.74
Jœuf,112.28,94.6,15.74
Taverny,112.28,94.6,15.74
Saint-Priest,112.28,94.6,15.74
Lognes,114.71,96.79,15.62
Heillecourt,114.71,96.79,15.62
Poissy,114.71,96.79,15.62
Morsang-sur-Orge,114.71,96.79,15.62
Boussy-Saint-Antoine,114.71,96.79,15.62
Évian-les-Bains,114.71,96.79,15.62
Épinay-sous-Sénart,114.71,96.79,15.62
Ville-la-Grand,114.71,96.79,15.62
Villiers-sur-Marne,114.71,96.79,15.62
Vichy,114.47,96.79,15.45
Sevran,112.13,95.86,14.51
Gennevilliers,112.13,95.86,14.51
Grand-Fort-Philippe,112.13,95.86,14.51
Tourcoing,112.13,95.86,14.51
Athis-Mons,112.13,95.86,14.51
Vaujours,112.13,95.86,14.51
Terville,112.13,95.86,14.51
Toufflers,112.13,95.86,14.51
